name,city,country,region,members,fullurl,created,status,last_event,past_events,upcoming_events
PyLadies Karlsruhe,Karlsruhe,Germany,Europe,180,https://www.meetup.com/PyLadies-Karlsruhe/,2019-11-20,Active,2021-10-13,5,0
PyLadiesMS,Münster,Germany,Europe,63,https://www.meetup.com/PyLadiesMS/,2017-11-05,Unbegun,NA,0,0
PyLadies Central PA,Harrisburg,USA,US/Canada,57,https://www.meetup.com/PyLadies-Central-PA/,2018-11-27,Inactive,2020-01-17,12,0
Inland Empire Pyladies,Riverside,USA,US/Canada,214,https://www.meetup.com/iepyladies/,2014-07-06,Inactive,2016-04-15,20,0
PyLadies Oakland/East Bay,Oakland,USA,US/Canada,356,https://www.meetup.com/Oakland-PyLadies/,2016-03-26,Active,2021-11-02,62,0
PyLadies MSK,Moscow,Russia,Europe,189,https://www.meetup.com/PyLadies-MSK/,2018-12-04,Inactive,2019-07-11,4,0
PyLadies San Diego,San Diego,USA,US/Canada,1010,https://www.meetup.com/sd-pyladies/,2012-09-24,Active,2021-11-27,588,1
PyLadies Taiwan,Taipei,Taiwan,Asia,1631,https://www.meetup.com/PyLadiesTW/,2014-02-28,Active,2021-11-20,93,1
PyLadies Dublin,Dublin,Ireland,Europe,1244,https://www.meetup.com/PyLadiesDublin/,2013-10-25,Active,2021-11-16,98,1
PyLadies Grand Rapids,Grand Rapids,USA,US/Canada,174,https://www.meetup.com/PyLadiesGrandRapids/,2017-02-06,Active,2021-06-21,39,0
PyLadies Munich,München,Germany,Europe,802,https://www.meetup.com/PyLadiesMunich/,2014-11-20,Active,2021-11-20,30,0
PyLadies Colombia: Bogotá,Bogotá,Colombia,Latin America,1113,https://www.meetup.com/Pyladies-Co-Bogota/,2018-06-05,Inactive,2020-07-18,16,0
Pyladies Bogotá,Bogotá,Colombia,Latin America,113,https://www.meetup.com/Pyladies-Bogota/,2016-10-30,Unbegun,NA,0,0
Chicago PyLadies,Chicago,USA,US/Canada,1262,https://www.meetup.com/Chicago-PyLadies/,2015-01-10,Inactive,2021-03-09,80,0
Salt Lake PyLadies,Salt Lake City,USA,US/Canada,445,https://www.meetup.com/Salt-Lake-Pyladies/,2013-10-16,Inactive,2020-11-26,106,0
Pyladies Perth,Perth,Australia,Australia,134,https://www.meetup.com/Pyladies-Perth/,2019-08-16,Active,2021-06-04,3,0
Sydney PyLadies,Sydney,Australia,Australia,500,https://www.meetup.com/Sydney-PyLadies/,2015-10-01,Inactive,2019-10-18,34,0
PyLadies PUC-Rio,Rio de Janeiro,Brazil,Latin America,48,https://www.meetup.com/PyLadies-PUC-Rio/,2016-08-28,Inactive,2016-10-22,1,0
PyLadies Pune,Pune,India,Asia,1239,https://www.meetup.com/PyLadies-Pune/,2014-10-09,Inactive,2017-11-19,17,0
PyLadies Santiago de Chile,Santiago,Chile,Latin America,236,https://www.meetup.com/pyladies-santiago-de-chile/,2021-04-21,Active,2021-10-28,5,0
PyLadies Silicon Valley,Sunnyvale,USA,US/Canada,478,https://www.meetup.com/PyLadies-Silicon-Valley/,2015-12-04,Inactive,2021-02-20,32,0
Pyladies India,Delhi,India,Asia,129,https://www.meetup.com/PyladiesIndia/,2014-06-04,Inactive,2014-06-14,1,0
PyLadies RDU,Raleigh,USA,US/Canada,453,https://www.meetup.com/pyladies-rdu/,2014-09-03,Active,2020-12-08,49,1
México City Pyladies Meetup,México City,Mexico,Latin America,1231,https://www.meetup.com/Mexico-City-Pyladies-Meetup/,2016-03-17,Active,2021-06-26,39,0
PyLadies Istanbul,Istanbul,Turkey,Europe,52,https://www.meetup.com/PyLadies-Istanbul/,2014-10-26,Inactive,2015-01-17,2,0
PyLadies Duque de Caxias Meetup,Duque de Caxias,Brazil,Latin America,44,https://www.meetup.com/PyLadies-Duque-de-Caxias-Meetup/,2016-01-02,Unbegun,NA,0,0
PyLadies Bangalore Chapter,Bangalore,India,Asia,506,https://www.meetup.com/PyLadies-Bangalore-Chapter/,2018-10-30,Active,2021-10-29,19,0
Mavs PyLadies,Arlington,USA,US/Canada,17,https://www.meetup.com/mavspyladies/,2018-01-18,Inactive,2018-02-02,1,0
PyLadies Manila,Makati,Philippines,Asia,82,https://www.meetup.com/pyladiesmanila/,2015-07-25,Inactive,2016-01-30,2,0
PyLadies Vienna,Vienna,Austria,Europe,519,https://www.meetup.com/PyLadies-Vienna/,2013-03-09,Inactive,2021-05-26,40,0
Pyladies UY,Montevideo,Uruguay,Latin America,445,https://www.meetup.com/PyLadiesUy/,2019-06-24,Active,2021-09-29,12,0
PyLadies San Antonio,San Antonio,USA,US/Canada,8,https://www.meetup.com/pyladies-san-antonio/,2021-02-24,Unbegun,NA,0,0
PyLadiesStockholm,Stockholm,Sweden,Europe,1135,https://www.meetup.com/PyLadiesStockholm/,2013-04-21,Active,2021-11-15,80,2
PyLadies Curitiba,Curitiba,Brazil,Latin America,50,https://www.meetup.com/PyLadies-Curitiba/,2015-09-26,Inactive,2015-09-29,1,0
PyLadies Medellín,Medellín,Colombia,Latin America,1216,https://www.meetup.com/Python-Ladies-Medellin/,2015-12-07,Active,2021-07-23,23,1
PyLadies Harare,Harare,Zimbabwe,Africa,539,https://www.meetup.com/PyLadies-Harare/,2016-11-28,Active,2021-11-20,53,0
PyLadies Kampala,Kampala,Uganda,Africa,160,https://www.meetup.com/pyladieskampala/,2020-07-14,Active,2021-09-18,12,0
